Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable
ES,Riyadh,Lexus,Automatic,Saudi,Semi Full,2019,4.0,90000,True
Camry,Jeddah,Toyota,Automatic,Saudi,Standard,2014,2.5,295,True
Rush,Al-Medina,Toyota,Automatic,Gulf Arabic,Full,2020,1.5,4050,True
Charger,Riyadh,Dodge,Automatic,Saudi,Standard,2016,3.6,172000,True
SEL,Al-Ahsa,Mercedes,Automatic,Other,Full,1991,3.0,213,True
Avalon,Hail,Toyota,Automatic,Saudi,Semi Full,2013,6.0,255,True
Land Cruiser,Hail,Toyota,Manual,Saudi,Full,2008,4.6,200000,True
Hilux,Riyadh,Toyota,Manual,Other,Semi Full,2009,2.7,230,True
Capture,Riyadh,Renault,Automatic,Gulf Arabic,Semi Full,2016,1.6,85000,True
Navara,Abha,Nissan,Manual,Saudi,Standard,2013,2.5,300000,True
Carnival,Dammam,Kia,Automatic,Saudi,Standard,2016,2.0,144000,True
Copper,Dammam,MINI,Manual,Saudi,Semi Full,2015,2.0,235000,True
Caprice,Hafar Al-Batin,Chevrolet,Automatic,Saudi,Semi Full,2007,6.0,14000,True
Yukon,Riyadh,GMC,Automatic,Unknown,Full,2007,5.3,300000,True
Sierra,Tabouk,GMC,Manual,Saudi,Full,2002,1.8,200000,True
Camry,Aseer,Toyota,Automatic,Saudi,Standard,2017,2.5,149000,True
Hilux,Hafar Al-Batin,Toyota,Manual,Saudi,Full,2015,2.7,196000,True
Ciocca,Jeddah,Toyota,Automatic,Saudi,Semi Full,2009,5.7,300000,True
Taurus,Riyadh,Ford,Automatic,Unknown,Standard,2014,3.5,93000,True
Furniture,Jeddah,Toyota,Automatic,Saudi,Full,2017,2.7,24083,True
Kaptiva,Jeddah,Chevrolet,Automatic,Gulf Arabic,Standard,2008,2.0,300000,True
LS,Abha,Lexus,Automatic,Other,Full,1998,4.6,400,True
Patrol,Qassim,Nissan,Automatic,Saudi,Semi Full,2013,5.6,560000,True
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2013,4.6,359008,True
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2015,1.6,170000,True
Cadenza,Tabouk,Kia,Automatic,Other,Standard,2015,3.3,299,True
Hilux,Wadi Dawasir,Toyota,Manual,Saudi,Full,2020,2.4,75000,True
Land Cruiser,Arar,Toyota,Automatic,Saudi,Full,2017,5.7,106,True
Pathfinder,Jeddah,Nissan,Automatic,Saudi,Semi Full,2014,3.5,285500,True
Land Cruiser Pickup,Dammam,Toyota,Manual,Gulf Arabic,Full,2016,4.0,315000,True
Malibu,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2019,1.5,50000,True
Accord,Riyadh,Honda,Automatic,Gulf Arabic,Full,2012,4.0,376528,True
Senta fe,Aseer,Hyundai,Automatic,Other,Semi Full,2014,6.1,300000,True
CLS,Dammam,Mercedes,Automatic,Saudi,Semi Full,2019,3.5,76000,True
F150,Riyadh,Ford,Automatic,Saudi,Semi Full,2017,5.0,108000,True
H1,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,2.4,34000,True
Charger,Dammam,Dodge,Automatic,Saudi,Full,2012,5.7,220000,True
Innova,Jeddah,Toyota,Automatic,Saudi,Full,2017,2.7,58000,True
Edge,Riyadh,Ford,Automatic,Gulf Arabic,Full,2013,3.7,341000,True
Innova,Makkah,Toyota,Automatic,Saudi,Full,2017,2.7,180000,True
Copper,Riyadh,MINI,Automatic,Saudi,Full,2018,2.0,27000,True
Cherokee,Jeddah,Jeep,Manual,Saudi,Full,1999,6.0,366798,True
Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2018,4.0,109000,True
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2014,2.5,234000,True
Datsun,Qassim,Nissan,Manual,Saudi,Standard,1987,2.4,80000,True
Yukon,Riyadh,GMC,Automatic,Saudi,Standard,2014,8.0,135000,True
Land Cruiser,Taef,Toyota,Automatic,Saudi,Full,2018,4.6,92000,True
Carnival,Riyadh,Kia,Automatic,Saudi,Semi Full,2011,3.3,232000,True
Camry,Aseer,Toyota,Manual,Saudi,Semi Full,2010,1.6,300,True
Pathfinder,Al-Medina,Nissan,Automatic,Saudi,Semi Full,2016,3.5,155000,True
FJ,Riyadh,Toyota,Automatic,Saudi,Full,2008,3.5,375000,True
6,Riyadh,Mazda,Automatic,Saudi,Standard,2017,4.0,243,True
Prado,Al-Medina,Toyota,Automatic,Saudi,Full,2010,4.0,260000,True
LX,Hafar Al-Batin,Lexus,Automatic,Saudi,Full,2015,5.7,104,True
Patrol,Riyadh,Nissan,Automatic,Gulf Arabic,Full,2020,4.0,40000,True
Accord,Jeddah,Honda,Automatic,Saudi,Semi Full,2015,2.5,620,True
Victoria,Tabouk,Ford,Automatic,Saudi,Semi Full,2006,4.6,365000,True
Senta fe,Al-Medina,Hyundai,Automatic,Saudi,Full,2016,3.3,125000,True
Optima,Al-Ahsa,Kia,Automatic,Saudi,Semi Full,2013,4.0,146980,True
Yukon,Jeddah,GMC,Automatic,Saudi,Full,2008,6.2,300,True
Furniture,Riyadh,Toyota,Automatic,Unknown,Semi Full,2016,2.7,201000,True
Hilux,Aseer,Toyota,Manual,Saudi,Full,2012,2.7,395000,True
IS,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2016,3.5,100000,True
Other,Riyadh,Other,Manual,Saudi,Standard,2006,6.5,81250,True
Tucson,Riyadh,Hyundai,Automatic,Gulf Arabic,Semi Full,2014,2.0,126000,True
Malibu,Aseer,Chevrolet,Automatic,Saudi,Standard,2021,1.5,10800,True
Cerato,Jubail,Kia,Automatic,Gulf Arabic,Semi Full,2019,1.6,105280,True
Camry,Riyadh,Toyota,Automatic,Gulf Arabic,Standard,2017,2.5,82000,True
Traverse,Al-Medina,Chevrolet,Automatic,Saudi,Semi Full,2012,3.1,132,True
Furniture,Al-Medina,Toyota,Automatic,Saudi,Semi Full,2013,2.7,32000,True
VTC,Qassim,Nissan,Automatic,Gulf Arabic,Semi Full,2002,4.8,650000,True
S,Dammam,Mercedes,Automatic,Saudi,Full,2006,6.3,133641,True
Camry,Jeddah,Toyota,Automatic,Other,Semi Full,2002,2.4,375050,True
Marquis,Al-Ahsa,Ford,Automatic,Other,Full,2008,4.6,50000,True
Tucson,Al-Ahsa,Hyundai,Automatic,Saudi,Semi Full,2019,2.0,77000,True
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2020,2.7,89000,True
Sonata,Al-Medina,Hyundai,Automatic,Saudi,Semi Full,2014,1.6,1500000,True
Corolla,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,1.6,19000,True
Pajero,Riyadh,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.8,178000,True
Durango,Riyadh,Dodge,Automatic,Saudi,Full,2017,5.7,80000,True
